NOME DA EMPRESA;FATURAMENTO ATUAL;META ESTABELECIDA
AlphaTech;1560706.46;1613077.32
BioVida;3807785.79;3395966.75
Maximus Corp;2954776.37;2770526.55
Solaris Solutions;2434768.09;2337154.71
EcoTrade;708472.70;699135.73
Vision Global;708378.63;768982.40
NovaCom;326526.09;297106.78
PrimeHub;3478086.97;3492939.55
InovaX;2444348.55;2512116.57
BlueWave;2861483.05;2472135.72
Terra Forte;180279.53;186095.97
Skyline Systems;3882648.42;3498876.73
Aurum Group;3346526.30;2909856.41
NextGen Solutions;928122.53;1053108.77
Vitalis;809117.37;922142.66
Oceanic;815277.59;890706.42
Helios Partners;1286544.75;1211132.81
Quantum Brasil;2146550.08;1887465.00
Pulsar Ltda;1784585.57;1883219.45
GreenMind;1235793.65;1213605.90
